Position,Track Name,Artist,Streams,URL,Week Start Date,Week End Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
126,FEEFA (feat. Gunna),6ix9ine,1904652,https://open.spotify.com/track/26jYPsHHSOxCTz4cLt6SbQ,2018-11-23,2018-11-30,0.0412,DUMMY BOY,0.754,163086,0.728,True,https://i.scdn.co/image/77eb7c17cafe5502e591e1515daa9d67250f9bf0,0.0,6,0.106,-7.61,0,77,0.0809,140.007,4,0.594
127,Feliz Navidad,José Feliciano,1900523,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,2018-11-23,2018-11-30,0.534,The Definite Best,0.485,182360,0.857,False,https://i.scdn.co/image/ee989c39a63377a7212742da13e60d82fa1d20b9,0.0,2,0.347,-7.059,1,79,0.0442,148.749,4,0.963
128,I Found You (with Calvin Harris),benny blanco,1899659,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh,2018-11-23,2018-11-30,0.033,I Found You (with Calvin Harris),0.775,191496,0.872,False,https://i.scdn.co/image/d60cc0d5fadf68cba59fe3f02636428670b5a1b5,0.0579,6,0.298,-4.194,1,82,0.0469,122.994,4,0.379
129,Hope,XXXTENTACION,1898337,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,2018-11-23,2018-11-30,0.661,?,0.592,110886,0.457,True,https://i.scdn.co/image/4b180600c11e3c89c8b16d6aea3590a5cbfdaea9,0.000331,9,0.146,-6.081,0,83,0.0603,146.04,4,0.225
130,Happy Xmas (War Is Over) - Remastered,John Lennon,1887577,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2018-11-23,2018-11-30,0.319,Power To The People - The Hits,0.328,213880,0.607,False,https://i.scdn.co/image/46b66015cd0996bcde1c7344885aedc2ffe3d0e8,0.0,2,0.765,-11.076,1,88,0.0315,146.539,3,0.395
131,Look At Me!,XXXTENTACION,1878107,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s,2018-11-23,2018-11-30,0.259,Revenge,0.763,126346,0.726,True,https://i.scdn.co/image/ce0d627fb1b333c25b956e876c3b7eb158872413,0.0,1,0.0976,-6.405,1,77,0.282,139.059,4,0.349
132,Taking A Walk,Trippie Redd,1877584,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2,2018-11-23,2018-11-30,0.68,LIFE'S A TRIP,0.767,121680,0.538,True,https://i.scdn.co/image/aac404be72022e7b60b73de40fd67f23940ec034,0.0,0,0.192,-6.044,0,80,0.052,81.031,4,0.343
133,the remedy for a broken heart (why am I so in love),XXXTENTACION,1871941,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7,2018-11-23,2018-11-30,0.779,?,0.699,160184,0.304,True,https://i.scdn.co/image/4b180600c11e3c89c8b16d6aea3590a5cbfdaea9,0.000993,1,0.137,-11.192,1,84,0.0993,119.705,4,0.271
134,Sweet but Psycho,Ava Max,1869409,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2018-11-23,2018-11-30,0.0691,Sweet but Psycho,0.719,187436,0.704,False,https://i.scdn.co/image/8d1ffe98344be3e1b21cfda24b49cf1647d8c2da,0.0,1,0.166,-4.724,1,95,0.0476,133.002,4,0.628
135,Santa Baby,Ariana Grande,1855809,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb,2018-11-23,2018-11-30,0.0581,Christmas Kisses,0.747,170933,0.776,False,https://i.scdn.co/image/3521352fa31542653b33314116131aef7674fe55,0.0,0,0.284,-5.772,1,83,0.144,95.991,4,0.812
