URL,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
https://open.spotify.com/track/22Z7mEnP1e4IyUDBIkj7Yf,0.298,Visualízate,0.625,203947.0,0.954,False,https://i.scdn.co/image/b337f847af2156f2ad4b282ff65b0833dbfa80e0,0.0,0.0,0.22,-3.1,1.0,50.0,0.0407,95.018,4.0,0.923
https://open.spotify.com/track/714JJ27SmuQEghyVauzMPj,0.6,Sin Salsa No Hay Paraíso,0.797,226893.0,0.874,False,https://i.scdn.co/image/2fcbaa374837545e6729da8b77eb830a80e4116d,0.000138,0.0,0.0398,-3.155,1.0,45.0,0.0347,94.469,4.0,0.972
https://open.spotify.com/track/3jSCiNXdUOUdpmfG01evw9,0.584,Visualízate,0.545,240027.0,0.848,False,https://i.scdn.co/image/b337f847af2156f2ad4b282ff65b0833dbfa80e0,0.0,7.0,0.106,-4.532,0.0,48.0,0.0619,97.703,4.0,0.764
https://open.spotify.com/track/5aPZ8WDKgtij3zbknGFnhC,0.358,Despacito (Versión Salsa),0.819,205667.0,0.884,False,https://i.scdn.co/image/2ebde798550d2ce0e5a55a0651c1dd6841e82faa,0.0,11.0,0.0778,-3.52,0.0,48.0,0.0868,97.072,4.0,0.621
https://open.spotify.com/track/5f18XsUS3ZsuiilRWzkPla,0.639,"Salsa Hits, Vol.1",0.559,297733.0,0.734,False,https://i.scdn.co/image/c90ac5aece604036fb663889bc75c52bf3dff0d1,0.0146,6.0,0.103,-5.593,0.0,55.0,0.0369,178.58,4.0,0.961
https://open.spotify.com/track/5uRd1tmUAvfFGSPR5266Xp,0.337,Men In Salsa,0.668,251253.0,0.874,False,https://i.scdn.co/image/ec5ff55aeef1d9ea7ecb581de287763cfb26c498,2.13e-06,5.0,0.0338,-8.751,0.0,55.0,0.0469,187.435,4.0,0.921
https://open.spotify.com/track/0OjcoCQJIUTf092NrRKNOf,0.598,La Parranda Fania,0.582,207173.0,0.824,False,https://i.scdn.co/image/1eb923ad9b967bd30c43f27e1b8c7e4d8caa3e1a,1.39e-06,2.0,0.088,-6.093,1.0,39.0,0.171,72.069,4.0,0.887
https://open.spotify.com/track/4fHYtAHpAmsFDq7kTLzgh5,0.68,La Universidad de La Salsa,0.812,301373.0,0.679,False,https://i.scdn.co/image/f01b458d6e1a6fc1c273bbdb5dea8115170275f9,0.00283,2.0,0.314,-6.008,0.0,50.0,0.0559,90.474,4.0,0.852
https://open.spotify.com/track/0TgbqQpWj06HsIREGbJoOi,0.21,25/7,0.757,298307.0,0.888,False,https://i.scdn.co/image/fb6f38dc5b50fdbe599c516bc71858a80d6d02e0,0.0,2.0,0.367,-2.989,0.0,46.0,0.128,108.564,4.0,0.858
https://open.spotify.com/track/0Ncmfi9ff3wTC87zGHAAKE,0.356,Grandes Exitos de Salsa,0.504,252827.0,0.708,False,https://i.scdn.co/image/279c60e562f54bf986bfbbeda09834381fb456ea,0.0204,7.0,0.113,-10.991,0.0,43.0,0.0407,167.808,4.0,0.964
https://open.spotify.com/track/1E7Mr8hpJcFiv2uajjEY8l,0.748,Asalto Navideño,0.707,235453.0,0.678,False,https://i.scdn.co/image/a056dd582a805f82498bcaac9b1bcfe7d0c9da2f,0.0,5.0,0.0838,-6.111,1.0,34.0,0.0513,100.908,4.0,0.961
