Position,Track Name,Artist,Streams,URL,Day Start Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
81,Lust,Lil Skies,347512,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S,2018-09-18,0.138,Life of a Dark Rose,0.718,156000,0.767,True,https://i.scdn.co/image/e5eea949b07222706328ba45f8fa495e0cac94ef,0.0,9,0.114,-5.641,1,83,0.166,160.084,4,0.519
82,the remedy for a broken heart (why am I so in love),XXXTENTACION,340261,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7,2018-09-18,0.779,?,0.699,160184,0.304,True,https://i.scdn.co/image/4b180600c11e3c89c8b16d6aea3590a5cbfdaea9,0.000993,1,0.137,-11.192,1,84,0.0993,119.705,4,0.271
83,Look At Me!,XXXTENTACION,337092,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s,2018-09-18,0.259,Revenge,0.763,126346,0.726,True,https://i.scdn.co/image/ce0d627fb1b333c25b956e876c3b7eb158872413,0.0,1,0.0976,-6.405,1,77,0.282,139.059,4,0.349
84,I'm Upset,Drake,334963,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT,2018-09-18,0.279,Scorpion,0.899,214467,0.586,True,https://i.scdn.co/image/239ec906572231368d8ebd72614094bd3bd10b33,0.0,11,0.0836,-7.866,0,80,0.344,150.001,4,0.492
85,SWISH,Tyga,332354,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD,2018-09-18,0.0831,SWISH,0.884,194936,0.541,True,https://i.scdn.co/image/8cbd10ee88d112edbbfa4559e78ee554ac276921,0.0,11,0.118,-5.608,1,83,0.221,105.009,4,0.274
86,Feels Like Summer,Childish Gambino,330808,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr,2018-09-18,0.162,Summer Pack,0.554,297404,0.596,False,https://i.scdn.co/image/5df46985c4b42dfd0c52827125250f73d73dc45e,0.00482,7,0.0805,-8.214,1,75,0.13,165.728,4,0.255
87,I Like Me Better,Lauv,322189,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2018-09-18,0.535,I met you when I was 18. (the playlist),0.752,197437,0.505,False,https://i.scdn.co/image/fd81e964c72bb185940f343cd5fd501b6d27f067,2.55e-06,9,0.104,-7.621,1,74,0.253,91.97,4,0.419
88,Legends,Juice WRLD,320754,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,2018-09-18,0.115,Legends,0.594,191840,0.798,True,https://i.scdn.co/image/bca8b62e0f1eeb4835412706e7d0d1fed9d76f2d,0.0,4,0.143,-5.244,1,82,0.0844,142.049,4,0.381
89,Magic In The Hamptons (feat. Lil Yachty),Social House,320542,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp,2018-09-18,0.66,Magic In The Hamptons (feat. Lil Yachty),0.769,164640,0.479,False,https://i.scdn.co/image/efdd1c4d156cae1f7a0e922864177b7f7b0086c4,0.0,1,0.0914,-5.339,1,77,0.0385,96.051,4,0.803
90,Happy Now,Zedd,320510,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,2018-09-18,0.579,Happy Now,0.503,207030,0.741,False,https://i.scdn.co/image/ff9f8f5e11b777df68a095a0bedf01ffbd05e811,1.49e-06,4,0.0712,-5.128,1,85,0.047,88.335,3,0.458
91,Mob Ties,Drake,319818,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK,2018-09-18,0.0456,Scorpion,0.755,205147,0.575,True,https://i.scdn.co/image/239ec906572231368d8ebd72614094bd3bd10b33,0.00124,4,0.276,-8.393,0,80,0.0678,85.987,4,0.49
92,Ball For Me (feat. Nicki Minaj),Post Malone,314736,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa,2018-09-18,0.493,beerbongs & bentleys,0.792,206267,0.56,True,https://i.scdn.co/image/77eb7c17cafe5502589602bd799134625caeb6f3,0.0,9,0.0849,-4.125,1,81,0.225,134.044,4,0.505
93,East Atlanta Love Letter (feat. Future),6LACK,314019,https://open.spotify.com/track/6rJmWa5DvQ3Nby3tdcX2L0,2018-09-18,0.367,East Atlanta Love Letter,0.6,246088,0.304,True,https://i.scdn.co/image/35a7e7b0e40fa3dd8726fd7770492fe85770567b,5.93e-06,5,0.0864,-11.969,0,73,0.0915,61.579,4,0.17
94,I'm a Mess,Bebe Rexha,313154,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,2018-09-18,0.00281,Expectations,0.63,195519,0.694,False,https://i.scdn.co/image/ef24726ae44b2a0ef78cf3be0aceaf84b94f1469,0.0,11,0.0719,-6.257,0,86,0.0253,97.005,4,0.216
95,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,311758,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG,2018-09-18,0.0776,Goodbye (feat. Nicki Minaj & Willy William),0.643,195419,0.904,False,https://i.scdn.co/image/1095eb8d322dbac00a72ed60a7ad1f8c9a051c8f,0.0,0,0.189,-3.694,1,83,0.0739,103.028,4,0.481
96,Balenciaga Challenge (feat. Offset),6LACK,308833,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv,2018-09-18,0.128,East Atlanta Love Letter,0.746,187217,0.404,True,https://i.scdn.co/image/35a7e7b0e40fa3dd8726fd7770492fe85770567b,2.05e-05,10,0.19,-9.849,0,68,0.403,142.913,4,0.686
97,Shake It Up,Trippie Redd,305783,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz,2018-09-18,0.128,LIFE'S A TRIP,0.776,116681,0.608,True,https://i.scdn.co/image/aac404be72022e7b60b73de40fd67f23940ec034,0.0,10,0.0932,-6.478,0,79,0.104,156.025,4,0.402
98,BUTTERFLY EFFECT,Travis Scott,302972,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4,2018-09-18,0.053,ASTROWORLD,0.764,190557,0.628,False,https://i.scdn.co/image/81ec409ffd6683c5f496b02aa098b1676f682941,0.0,11,0.114,-5.851,1,48,0.0503,140.963,4,0.196
