,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
81,"Ruin My Life","Zara Larsson",1303843,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
82,asmr,"21 Savage",1293644,https://open.spotify.com/track/2QgfDF0fQ4sskDthP8MG5w
83,Youngblood,"5 Seconds of Summer",1288073,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
84,a&t,"21 Savage",1287949,https://open.spotify.com/track/6ho88pvz4c8WCSFbdVXNia
85,"Santa Claus Is Coming To Town","Michael Bublé",1287431,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
86,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",1286042,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
87,"Saturday Nights",Khalid,1258462,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
88,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",1252328,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
89,lovely,"Billie Eilish",1247005,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
90,"Kiss and Make Up","Dua Lipa",1240737,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
91,"Christmas Lights",Coldplay,1238039,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
92,Imposible,"Luis Fonsi",1231338,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
93,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",1217328,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
94,"Cuando Te Besé","Becky G",1216989,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
95,Nonstop,Drake,1209700,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
96,"Jocelyn Flores",XXXTENTACION,1201938,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
97,"Step Into Christmas","Elton John",1184378,https://open.spotify.com/track/11P4sSu6BH2lAbWk1sL6cK
